gene_symbol,protein_function,gbm_evidence,subtype_link,druggable,cancer_relevance,verdict,sources
PTK2,"Focal adhesion kinase (FAK) — a non-receptor tyrosine kinase activated downstream of integrins and growth-factor receptors that controls focal-adhesion turnover, cell migration, invasion, anoikis resistance and survival signalling.","Yes, including a dedicated clinical study. 'A study of the focal adhesion kinase inhibitor GSK2256098 in patients with recurrent glioblastoma with evaluation of tumor penetration of [11C]GSK2256098' (Neuro-Oncology 2018;20(12):1634) enrolled 13 recurrent GBM patients; it demonstrated measurable tumour penetration and tolerability, but efficacy was minimal — 'stable disease by RANO criteria... in 3 patients (27%), with progressive disease in 8 patients (73%)', with dose-limiting cerebral oedema at the top dose (https://pmc.ncbi.nlm.nih.gov/articles/PMC6231205; https://academic.oup.com/neuro-oncology/article/20/12/1634/4998845). Preclinically, Pyk2/FAK signalling is upregulated in recurrent GL261 gliomas (https://pubmed.ncbi.nlm.nih.gov/37686276/), and a 2025 review addresses context-specific FAK targeting in GBM (https://pmc.ncbi.nlm.nih.gov/articles/PMC12757307/).","MISMATCH for PN. FAK biology is integrin/adhesion/invasion and ECM-driven, which maps onto the MESENCHYMAL glioblastoma programme rather than the proneural/NPC-like proliferative programme. No evidence was found linking PTK2 to PDGFRA, OLIG2 or a neural-progenitor signature in GBM. Flagging the PN assignment as biologically inconsistent.","Yes — this is the most clinically advanced FAK target status. Defactinib (VS-6063, FAKZYNJA) received FDA accelerated approval in May 2025 in combination with the RAF/MEK clamp avutometinib (AVMAPKI) for adults with KRAS-mutated recurrent low-grade serous ovarian cancer — the first approval of a FAK inhibitor (https://investor.verastem.com/news-releases/news-release-details/fda-approves-avmapkitm-fakzynjatm-combination-therapy-first-ever; https://www.mskcc.org/news/fda-approves-avutometinib-defactinib-combination-for-treating-recurrent-low-grade-serous-ovarian-cancer-with-kras-mutation). GSK2256098 reached phase I in solid tumours and the recurrent-GBM expansion above (https://www.annalsofoncology.org/article/S0923-7534(19)36550-0/fulltext). Status: APPROVED (defactinib, in a specific ovarian-cancer combination only); clinical-stage but NOT approved for any brain tumour; the one GBM trial was negative for efficacy.","Extensive. FAK is amplified/overexpressed across many carcinomas and is a validated node for invasion, stromal signalling and immune exclusion; multiple FAK inhibitors have been through clinical development (https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2024.1274209/full).",MODERATE,"['https://pmc.ncbi.nlm.nih.gov/articles/PMC6231205', 'https://academic.oup.com/neuro-oncology/article/20/12/1634/4998845', 'https://pubmed.ncbi.nlm.nih.gov/29788497/', 'https://investor.verastem.com/news-releases/news-release-details/fda-approves-avmapkitm-fakzynjatm-combination-therapy-first-ever', 'https://www.mskcc.org/news/fda-approves-avutometinib-defactinib-combination-for-treating-recurrent-low-grade-serous-ovarian-cancer-with-kras-mutation', 'https://www.annalsofoncology.org/article/S0923-7534(19)36550-0/fulltext', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC12757307/', 'https://pubmed.ncbi.nlm.nih.gov/37686276/', 'https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2024.1274209/full']"
E2F3,E2F-family transcription factor held inactive by RB1; on CDK4/6–cyclin D-mediated RB phosphorylation it drives transcription of S-phase and DNA-replication genes to execute the G1/S transition.,"Yes. E2F3 is a validated miR-128 target in glioma: 'MicroRNA-128 inhibits glioma cells proliferation by targeting transcription factor E2F3a' (https://link.springer.com/article/10.1007/s00109-008-0403-6); 'miR128-1 inhibits the growth of glioblastoma multiforme and glioma stem-like cells via targeting BMI1 and E2F3' (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5346679/); and miR-128 down-regulation in GBM targets 'ARP5 (ANGPTL6), Bmi-1 and E2F-3a, key regulators of brain cell proliferation' (https://link.springer.com/article/10.1007/s11060-009-0077-0).","Consistent with PN, with direct supporting evidence. The CDK4/6 subtype study states 'The E2F1-regulated miR-17~92 cluster and its analogs are shown to be highly expressed in proneural GBM... suggesting the E2F cell cycle pathway might be a key driver in proneural GBM' (https://www.oncotarget.com/article/19429/text/). E2F3 also acts in glioma stem-like cells alongside BMI1, aligning with the progenitor/self-renewal axis of PN.","No direct E2F3 inhibitor exists (transcription factors of this class are not conventionally druggable); no tool compound could be confirmed. The pathway is drugged indirectly upstream via approved CDK4/6 inhibitors (palbociclib, ribociclib, abemaciclib) which restore RB-mediated E2F repression. Status: no direct agent known; indirect targeting only.","Well established. E2F3 is amplified/overexpressed in bladder, prostate, lung and other cancers and sits at the centre of the RB/E2F network that is disrupted in the large majority of GBM (https://www.oncotarget.com/article/17364/text/; https://www.pnas.org/doi/10.1073/pnas.1001613107).",STRONG,"['https://link.springer.com/article/10.1007/s00109-008-0403-6', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5346679/', 'https://link.springer.com/article/10.1007/s11060-009-0077-0', 'https://www.oncotarget.com/article/19429/text/', 'https://www.oncotarget.com/article/17364/text/', 'https://www.pnas.org/doi/10.1073/pnas.1001613107']"
MCM10,"Essential replisome component that acts at replication origins to activate the CMG helicase and couple helicase activation to DNA polymerase-alpha loading, licensing origin firing and replication elongation.","Yes, at the biomarker/bioinformatic level. 'MCM10 as a novel prognostic biomarker and its relevance to immune infiltration in gliomas' (Technol Health Care 2023, https://pubmed.ncbi.nlm.nih.gov/36872806/; https://journals.sagepub.com/doi/abs/10.3233/THC-220576). The broader MCM family is reported as 'potential diagnostic and prognostic tumor markers for human gliomas' (https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-14-526). No GBM-specific functional or in vivo study was found.","Consistent with PN in the generic proliferation/DNA-replication sense — MCM10 is a canonical S-phase gene and would co-vary with the E2F/cell-cycle module that characterises proneural/NPC-like GBM. No subtype-stratified GBM analysis of MCM10 was found; the specific PN assignment is inferred, not demonstrated.",None known. No MCM10 inhibitor or tool compound was identified. Status: none known.,"Good. MCM10 is a pan-cancer diagnostic/prognostic/immunological biomarker (https://www.nature.com/articles/s41598-023-44946-2), compensates for MYC-induced replication stress in breast cancer stem-like cells (https://pmc.ncbi.nlm.nih.gov/articles/PMC7935783/), and is a YAP1/TEAD4 target driving gastric cancer stemness (https://link.springer.com/article/10.1186/s12943-026-02623-8).",MODERATE,"['https://pubmed.ncbi.nlm.nih.gov/36872806/', 'https://journals.sagepub.com/doi/abs/10.3233/THC-220576', 'https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-14-526', 'https://www.nature.com/articles/s41598-023-44946-2', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC7935783/']"
PDCL,"Phosducin-like protein 1 (PhLP1), a co-chaperone of the cytosolic chaperonin CCT/TRiC that is required for folding and assembly of G-protein beta-gamma dimers and regulates CCT activity (https://pubmed.ncbi.nlm.nih.gov/17658730/; https://pubmed.ncbi.nlm.nih.gov/12060742/).",None found. No publication linking PDCL itself to glioblastoma or glioma was identified. IMPORTANT CAVEAT: the glioma literature that surfaces on this search is about the distinct paralogue PDCL3 — 'Phosducin-like 3 is a novel prognostic and onco-immunological biomarker in glioma' (https://pubmed.ncbi.nlm.nih.gov/37006287/) and 'PDCL3 promotes the vasculogenic mimicry of glioma-associated mesenchymal stem cells through VEGFR-2' (https://pubmed.ncbi.nlm.nih.gov/40469100/). These are NOT evidence for PDCL and must not be attributed to it.,"None found. No evidence connects PDCL to neural-progenitor identity, proliferation, cell cycle, or the PDGFRA/OLIG2 programme. If this gene entered the PN list via a name/paralogue collision with PDCL3, that should be checked in the upstream pipeline.","None known. PDCL is classified as 'Tbio' (biology only, no chemical probe) in the NIH Pharos druggable-genome resource (https://pharos.nih.gov/targets/Q13371). Status: none known.","Minimal. No substantive oncology literature on PDCL itself was found; it is an understudied, largely housekeeping co-chaperone.",NOVEL,"['https://pharos.nih.gov/targets/Q13371', 'https://pubmed.ncbi.nlm.nih.gov/17658730/', 'https://pubmed.ncbi.nlm.nih.gov/12060742/', 'https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCL', 'https://atlasgeneticsoncology.org/gene/71784/pdcl-(phosducin-like)', 'https://pubmed.ncbi.nlm.nih.gov/37006287/']"
NPM1,"Nucleophosmin/B23 — an abundant nucleolar shuttling phosphoprotein acting as a histone chaperone and ribosome-biogenesis factor, and regulating the ARF–p53 axis, centrosome duplication and genome stability.","Yes. 'NPM1 histone chaperone is upregulated in glioblastoma to promote cell survival and maintain nucleolar shape' (Scientific Reports 2015, https://www.nature.com/articles/srep16495; https://pubmed.ncbi.nlm.nih.gov/26559910/). Independently, siRNA knockdown of nucleophosmin in a glioblastoma cell line induces cell death (https://pubmed.ncbi.nlm.nih.gov/22745010/).","Partially consistent with PN, but non-specific. NPM1-driven ribosome biogenesis and nucleolar activity support high proliferative output, which fits the proneural proliferative programme, but NPM1 is a ubiquitously expressed housekeeping-class factor and no Verhaak-subtype-stratified GBM data were found. Treat the PN assignment as generic-proliferation-based rather than subtype-specific.","Preclinical tool compounds only. NSC348884 was reported as a nucleophosmin oligomerisation-disrupting inhibitor that induces apoptosis in cancer cells (https://www.nature.com/articles/onc200854) — but a later study concluded 'NSC348884 cytotoxicity is not mediated by inhibition of nucleophosmin oligomerization' (https://www.nature.com/articles/s41598-020-80224-1), so its mechanism is disputed and it is not a validated NPM1 probe. Avrainvillamide and related molecules targeting NPM1 are reviewed in https://www.oncotarget.com/article/8599/text/. Status: preclinical, with a significant target-engagement caveat; no clinical NPM1 inhibitor.","Very high. NPM1 is one of the most frequently mutated genes in acute myeloid leukaemia (NPM1c), is a recurrent fusion partner (NPM-ALK), and is a documented DNA-damage-repair factor and cancer target (https://aacrjournals.org/cancerres/article/83/10/1573/726298/Nucleophosmin-Plays-a-Role-in-Repairing-DNA-Damage).",STRONG,"['https://www.nature.com/articles/srep16495', 'https://pubmed.ncbi.nlm.nih.gov/26559910/', 'https://pubmed.ncbi.nlm.nih.gov/22745010/', 'https://www.nature.com/articles/onc200854', 'https://www.nature.com/articles/s41598-020-80224-1', 'https://www.oncotarget.com/article/8599/text/', 'https://aacrjournals.org/cancerres/article/83/10/1573/726298/Nucleophosmin-Plays-a-Role-in-Repairing-DNA-Damage']"
FERMT2,"Kindlin-2 (Mig-2) — a FERM-domain focal-adhesion adaptor that binds beta-integrin cytoplasmic tails cooperatively with talin to drive inside-out integrin activation, and links integrins to the actin cytoskeleton and ILK/PINCH signalling.","Limited but real. 'Mig-2 attenuates cisplatin-induced apoptosis of human glioma cells in vitro through AKT/JNK and AKT/p38 signaling pathways' — 'Overexpression of mig-2 significantly attenuated cisplatin-induced apoptosis, whereas knock-down of mig-2 potentiated the apoptosis', with the authors proposing mig-2 'may be a predictive biomarker for drug resistance in glioma' (https://pmc.ncbi.nlm.nih.gov/articles/PMC4155532/). Note this is in vitro glioma cell lines, not GBM tissue or in vivo. No FERMT2 GBM tissue/prognosis study was found (the glioma prognostic literature covers FERMT1 and FERMT3, which are different genes).","MISMATCH for CL. Kindlin-2 biology is integrin activation, ECM adhesion, EMT and stromal/immunosuppressive signalling — the canonical MESENCHYMAL glioblastoma programme, not EGFR-driven classical biology. No evidence was found tying FERMT2 to EGFR signalling, CDKN2A loss, or an astrocytic/classical GBM signature. Flagging this assignment as biologically inconsistent with CL.","None confirmed. No selective kindlin-2 inhibitor, drug or validated tool compound was identified; the target is a protein-protein-interaction adaptor without an enzymatic active site. Status: none known.","Moderate-to-good. Kindlin-2 is reviewed as a driver of cancer progression and metastasis (https://atm.amegroups.org/article/view/38270/html), and FERMT2 overexpression in cancer-associated fibroblasts correlates with EMT and immunosuppression in gastric cancer (https://pubmed.ncbi.nlm.nih.gov/38352691/).",MODERATE,"['https://pmc.ncbi.nlm.nih.gov/articles/PMC4155532/', 'https://atm.amegroups.org/article/view/38270/html', 'https://pubmed.ncbi.nlm.nih.gov/38352691/', 'https://www.genecards.org/card/FERMT2']"
BRAT1,BRCA1-associated ATM activator 1 — a scaffold that binds BRCA1 and ATM and promotes ATM/DNA-PK-dependent DNA double-strand-break signalling and repair; also implicated in mitochondrial function and mTOR signalling.,"Yes, and it is direct and recent. 'BRAT1 – a new therapeutic target for glioblastoma' (Cell Mol Life Sci) reports that BRAT1 expression increases with tumour grade, and that BRAT1 depletion in GBM cells and glioma stem-like cells causes 'impaired tumor growth and invasion', delays resolution of irradiation-induced DNA double-strand breaks (radiosensitisation), and extends median survival in an orthotopic mouse model from 42.5 to 55 days (https://link.springer.com/article/10.1007/s00018-024-05553-0; https://pmc.ncbi.nlm.nih.gov/articles/PMC11747058/; preprint https://www.biorxiv.org/content/10.1101/2024.07.08.602519v1).","None found. The published GBM work concerns DNA-damage response, radioresistance and invasion, with no link to EGFR signalling, EGFRvIII, CDKN2A deletion or a classical/astrocytic transcriptional signature. The GBM evidence is strong; the specific CL assignment is unsupported by anything I could find. Not a clear mismatch, but not corroborated either.","Preclinical. Curcusone D (CurD), a natural-product diterpene from Jatropha curcas, is described as a small-molecule BRAT1 inhibitor; in the GBM paper it phenocopied BRAT1 knockdown, 'significantly reduced GSC migration' and synergised with radiation, leading the authors to propose that 'therapeutic inhibition of BRAT1 with CurD or similar compounds might constitute a novel approach for anti-GBM directed treatments' (https://link.springer.com/article/10.1007/s00018-024-05553-0). Status: preclinical only; no clinical BRAT1 agent.","Emerging. BRAT1's role in ATM activation makes it a plausible general DNA-damage-response/radiosensitisation target; germline biallelic loss-of-function causes the neurodevelopmental disorders RMFSL/NEDCAS, which is relevant to a potential therapeutic window (https://www.ncbi.nlm.nih.gov/gtr/genes/221927/).",MODERATE,"['https://link.springer.com/article/10.1007/s00018-024-05553-0', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC11747058/', 'https://www.biorxiv.org/content/10.1101/2024.07.08.602519v1', 'https://www.ncbi.nlm.nih.gov/gtr/genes/221927/', 'https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAT1']"
FGFR1,"Fibroblast growth factor receptor 1 — a receptor tyrosine kinase that, on FGF binding and dimerisation, activates RAS-MAPK, PI3K-AKT and PLCgamma signalling to control proliferation, survival and stem-cell self-renewal.","Yes, extensive. (i) FGFR-TACC fusions (predominantly FGFR3-TACC3, with FGFR1-TACC1 rarer) occur in IDH-wildtype glioma and are oncogenic and inhibitor-sensitive (https://aacrjournals.org/clincancerres/article-abstract/21/14/3307/125197; review: https://www.sciencedirect.com/science/article/pii/S1383574225000079). (ii) 'FGFR1 fusions in genomically and epigenetically bona fide glioblastoma, IDH-wildtype' documents FGFR1 fusions in true GBM (https://academic.oup.com/jnen/article/85/1/98/8161067). (iii) 'FGFR1/FOXM1 pathway: a key regulator of glioblastoma stem cells radioresistance and a prognosis biomarker' (https://pmc.ncbi.nlm.nih.gov/articles/PMC6114977/). (iv) FGFR inhibition sensitises GBM stem cells to tumour-treating fields (https://www.nature.com/articles/s41420-025-02542-5).","Mixed / only indirectly supportive of CL. The strongest mechanistic CL-relevant link is bypass signalling: in GBM, 'simultaneously targeting FGFR1 and FGFR3 augmented cell death in response to EGFR and MET inhibition', i.e. FGFR1 sustains ERK reactivation via SPRY2 when EGFR is inhibited (https://pmc.ncbi.nlm.nih.gov/articles/PMC7724645/). That places FGFR1 adjacent to, but not within, the EGFR-driven classical programme. Countervailing evidence assigns FGFR1 to the MESENCHYMAL subtype ('HSPA5 and FGFR1 genes in the mesenchymal subtype of glioblastoma can improve a treatment efficacy', https://pmc.ncbi.nlm.nih.gov/articles/PMC11104699/), and FGFR1 also drives neural-stem-cell self-renewal, which is proneural-flavoured. I found no study assigning FGFR1 to classical GBM. Flagging the CL assignment as not directly supported.","Yes, with important precision. APPROVED: pemigatinib (PEMAZYRE) received FDA approval in August 2022 specifically for relapsed/refractory myeloid/lymphoid neoplasms with FGFR1 rearrangement — the only FGFR1-selective indication (https://www.accc-cancer.org/view/fda-approves-pemigatinib-for-mlns-with-fgfr1-rearrangement). Other approved pan-FGFR inhibitors (erdafitinib, futibatinib) are labelled for FGFR3-altered urothelial and FGFR2-fusion cholangiocarcinoma respectively, not FGFR1 or glioma. GLIOMA-SPECIFIC TRIALS AND OUTCOMES: infigratinib (BGJ398) phase II in recurrent glioma with FGFR alterations, n=26 (FGFR1: 1 amplification, 3 mutations, 1 fusion) — 'single-agent infigratinib had limited efficacy'; ORR 3.8% (1 PR), 6-month PFS 16.0%, median PFS 1.7 months, median OS 6.7 months, though 4 patients had durable control >1 year including FGFR1 K656E mutants (https://aacrjournals.org/clincancerres/article/28/11/2270/698914/Infigratinib-in-Patients-with-Recurrent-Gliomas). Fexagratinib (AZD4547) was evaluated in the TARGET phase I/II study in relapsed/refractory FGFR-fusion-positive glioma (https://academic.oup.com/noa/article/6/1/vdae068/7676464). Status: approved agents exist for FGFR1-rearranged haematological disease; in glioma, clinical-trial stage with largely negative single-agent results.","Very high. FGFR1 is amplified in squamous lung and breast cancer, rearranged in 8p11 myeloproliferative syndrome, and is a validated, extensively drugged oncogene family member.",MODERATE,"['https://aacrjournals.org/clincancerres/article/28/11/2270/698914/Infigratinib-in-Patients-with-Recurrent-Gliomas', 'https://academic.oup.com/jnen/article/85/1/98/8161067', 'https://academic.oup.com/noa/article/6/1/vdae068/7676464', 'https://www.sciencedirect.com/science/article/pii/S1383574225000079', 'https://aacrjournals.org/clincancerres/article-abstract/21/14/3307/125197', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC6114977/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC7724645/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC11104699/', 'https://www.accc-cancer.org/view/fda-approves-pemigatinib-for-mlns-with-fgfr1-rearrangement', 'https://www.nature.com/articles/s41420-025-02542-5']"
TMED10,"Transmembrane p24 trafficking protein 10 (p24delta/TMP21) — a COPI/COPII cargo receptor cycling between ER and Golgi that selects secretory cargo, and also mediates translocation of cytosolic proteins for unconventional secretion.","None found. No study linking TMED10 to glioblastoma or glioma was identified. The Human Protein Atlas reports TMED10 protein expression in glioblastoma as 'Non-significant (p<3e-3)' in CPTAC mass-spectrometry data and does not list glioma among the cancers where TMED10 is prognostic (only renal, favourable; thyroid, unfavourable) (https://www.proteinatlas.org/ENSG00000170348-TMED10/pathology/glioma). CAVEAT: the glioma/EGFR paper that surfaces here concerns the paralogue TMED2 — 'TMED2 promotes glioma tumorigenesis by being involved in EGFR recycling transport' (https://www.sciencedirect.com/science/article/abs/pii/S0141813024008584) — that is TMED2, not TMED10, and must not be credited to TMED10.","None found for TMED10 itself. There is an appealing but unproven inferential route to CL — TMED family members heterodimerise and TMED2 controls EGFR recycling in glioma — but no published data connect TMED10 to EGFR signalling, EGFRvIII, CDKN2A loss or classical GBM. Treat as unsupported.","None known. No inhibitor, drug or tool compound targeting TMED10 was found. Status: none known.","Weak-to-moderate and indirect. TMED2/9/10 are jointly reported as biomarkers of poor prognosis in head and neck squamous carcinoma (https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2022.895281/full); TMED10 also negatively regulates TGF-beta receptor complex formation (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5354491/) and traffics IGF2 (https://www.pnas.org/doi/10.1073/pnas.2215285120), but no dedicated oncogenic-driver study exists.",WEAK,"['https://www.proteinatlas.org/ENSG00000170348-TMED10/pathology/glioma', 'https://www.proteinatlas.org/ENSG00000170348-TMED10/pathology', 'https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2022.895281/full', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5354491/', 'https://www.pnas.org/doi/10.1073/pnas.2215285120', 'https://www.sciencedirect.com/science/article/abs/pii/S0141813024008584']"
KLF16,"Kruppel-like factor 16 — a zinc-finger transcription factor that binds GC-box/Sp1-like elements and can activate or repress target genes controlling proliferation, metabolism and mitochondrial biogenesis.","Yes, but in the OPPOSITE direction to a therapeutic target. 'KLF16 suppresses human glioma cell proliferation and tumourigenicity by targeting TFAM' (Artif Cells Nanomed Biotechnol 2018, https://www.tandfonline.com/doi/full/10.1080/21691401.2018.1431654; record: https://www.wikidata.org/wiki/Q49635567). The only glioma-specific publication therefore reports KLF16 as growth-SUPPRESSIVE.","MISMATCH, and a directional mismatch as well. There is no evidence linking KLF16 to EGFR signalling, CDKN2A loss, or a classical/astrocytic GBM programme. Worse, the sole glioma paper positions KLF16 as a tumour suppressor that restrains proliferation — so inhibiting KLF16 would be predicted to promote, not block, glioma growth. Flagging this as a target-direction error unless the pipeline is scoring it as a down-regulated/loss-of-function candidate. Note also that KLF16 is reported as ONCOGENIC in gastric, bladder, prostate and oral cancers, so its role is context-dependent and the glioma context is the negative one.","None known. No KLF16 inhibitor, activator or tool compound was identified; it is an undrugged zinc-finger transcription factor. Status: none known.","Moderate but contradictory across tissues: oncogenic in gastric cancer via Notch (https://ncbi.nlm.nih.gov/pmc/articles/PMC8263687), bladder cancer via TGFBR3 repression (https://www.tandfonline.com/doi/full/10.2147/CMAR.S334521), and prostate cancer via the MYC signature (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7025737/); growth-suppressive in glioma and retinoblastoma.",WEAK,"['https://www.tandfonline.com/doi/full/10.1080/21691401.2018.1431654', 'https://www.wikidata.org/wiki/Q49635567', 'https://ncbi.nlm.nih.gov/pmc/articles/PMC8263687', 'https://www.tandfonline.com/doi/full/10.2147/CMAR.S334521', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7025737/', 'https://www.sciencedirect.com/science/article/abs/pii/S0006291X20312286']"
CDK6,"Cyclin-dependent kinase 6 — partners with D-type cyclins to phosphorylate RB1, releasing E2F transcription factors and driving the G1/S transition; also has kinase-independent transcriptional roles.","Yes, including multiple completed GBM trials. Preclinically, 'Pharmacologic inhibition of cdk4/6 arrests the growth of glioblastoma multiforme intracranial xenografts' (https://pmc.ncbi.nlm.nih.gov/articles/PMC2855904/), and RB-pathway status dictates response to CDK4/6 inhibition in GBM (https://www.pnas.org/doi/10.1073/pnas.1001613107). CLINICAL OUTCOMES ARE NEGATIVE: the phase 2 trial of palbociclib in recurrent RB1-positive glioblastoma (n=22) was 'stopped early secondary to futility' and 'failed to meet its primary efficacy goal of PFS6 >= 30%', with '95% (18 of 19) evaluable patients progressing within 6 months', median PFS 5.14 weeks and median OS 15.4 weeks; the authors concluded 'palbociclib monotherapy was not an effective treatment for recurrent glioblastoma' (https://pmc.ncbi.nlm.nih.gov/articles/PMC6239922). A phase 0 trial of ribociclib in recurrent GBM assessed tumour PK/PD (https://aacrjournals.org/clincancerres/article/25/19/5777/124637/A-Phase-0-Trial-of-Ribociclib-in-Recurrent), and abemaciclib has been studied in recurrent GBM including combination phase 0/2 designs (https://academic.oup.com/neuro-oncology/article/26/Supplement_8/viii110/7890035).","Partially consistent, with an important caveat that cuts the other way. Pro-CL: CDKN2A/B homozygous deletion — which removes the p16INK4a brake on CDK4/6 — is a hallmark of the classical/RTK-II GBM group (https://www.jcancer.org/v17p0001.htm), and CDKN2A loss co-occurs with EGFR amplification in IDH-wildtype GBM (https://academic.oup.com/noa/article/2/1/vdaa126/5908751). AGAINST CL: the dedicated subtype study is titled 'CDK4/6 inhibition is more active against the glioblastoma proneural subtype' and reports 'palbociclib preferentially inhibited cell proliferation in vitro in a majority of proneural GSCs versus those of other subtypes', with 'most of these sensitive PN GSCs expressed higher levels of CDK6 and had intact Rb1' (https://www.oncotarget.com/article/19429/text/). So the published pharmacological sensitivity data point to PN, not CL. Flagging this as a partial subtype mismatch: the genomic rationale (CDKN2A loss) fits classical, but the functional CDK6-dependency data fit proneural.","Yes — the most clinically mature target on either list. APPROVED: palbociclib, ribociclib and abemaciclib are FDA-approved CDK4/6 inhibitors (HR-positive/HER2-negative breast cancer indications); abemaciclib and ribociclib also in adjuvant breast settings. NOT approved for any brain tumour. GBM-specific status: palbociclib phase 2 in recurrent RB1-positive GBM — NEGATIVE, terminated for futility; ribociclib — phase 0 PK/PD only; abemaciclib — evaluated in recurrent GBM trials including with pembrolizumab and with the ERK1/2 inhibitor LY3214996. Blood-brain-barrier penetration and RB1 status are the recurring limitations. Status: approved (other indications), clinical-trial stage in GBM with negative monotherapy results.","Very high and well validated: CDK6 is amplified or overexpressed across many cancers, is the effector of CDKN2A loss, and the CDK4/6 axis is one of the most successfully drugged nodes in oncology.",STRONG,"['https://pmc.ncbi.nlm.nih.gov/articles/PMC6239922', 'https://pubmed.ncbi.nlm.nih.gov/30151703/', 'https://aacrjournals.org/clincancerres/article/25/19/5777/124637/A-Phase-0-Trial-of-Ribociclib-in-Recurrent', 'https://academic.oup.com/neuro-oncology/article/26/Supplement_8/viii110/7890035', 'https://www.oncotarget.com/article/19429/text/', 'https://www.pnas.org/doi/10.1073/pnas.1001613107', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC2855904/', 'https://www.jcancer.org/v17p0001.htm', 'https://academic.oup.com/noa/article/2/1/vdaa126/5908751', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC9094053/']"
HAUS2,"Subunit 2 (CEP27) of the eight-member HAUS/augmin complex, which recruits gamma-tubulin ring complexes to pre-existing spindle microtubules to nucleate branched microtubules and amplify spindle microtubule density during mitosis (https://www.nature.com/articles/s41467-023-37625-3).",None found for HAUS2 specifically. The glioma literature covers other complex members or the family as a whole: 'HAUS Augmin-Like Complex Subunit 1 Influences Tumour Microenvironment and Prognostic Outcomes in Glioma' is about HAUS1 (https://pmc.ncbi.nlm.nih.gov/articles/PMC9296284/); 'A prognostic model based on the Augmin family genes for LGG patients' builds a multi-gene signature in lower-grade glioma rather than GBM and does not establish HAUS2 as an independent GBM factor (https://www.nature.com/articles/s41598-023-34779-4). A related GBM stem-cell paper concerns HAUS5 (https://www.oncotarget.com/article/18153/text/).,"None found, and the direction of fit is wrong for CL. Augmin/spindle biology is a proliferation/mitosis programme, which would sit more naturally with the proneural proliferative module than with EGFR-driven classical biology. No evidence connects HAUS2 to EGFR signalling, CDKN2A loss or an astrocytic programme. Flagging the CL assignment as unsupported and, on biology alone, better matched to PN.",None known. No HAUS2 or augmin-complex inhibitor or tool compound was identified. Status: none known.,"Weak and mostly guilt-by-association. HAUS-family genes appear in pan-cancer bioinformatic prognostic signatures (https://www.dovepress.com/development-and-validation-of-a-haus-related-prognostic-signature-in-l-peer-reviewed-fulltext-article-JHC), but no functional oncogenic role for HAUS2 has been demonstrated.",WEAK,"['https://pmc.ncbi.nlm.nih.gov/articles/PMC9296284/', 'https://www.nature.com/articles/s41598-023-34779-4', 'https://www.nature.com/articles/s41467-023-37625-3', 'https://omim.org/entry/613429', 'https://www.dovepress.com/development-and-validation-of-a-haus-related-prognostic-signature-in-l-peer-reviewed-fulltext-article-JHC', 'https://www.oncotarget.com/article/18153/text/']"
